0.4084, -0.0016, -0.4446, -0.1816 
0.4082, -0.0020, -0.4766, -0.1945 
0.4080, -0.0023, -0.4925, -0.2009 
0.4077, -0.0027, -0.4962, -0.2023 
0.4075, -0.0025, -0.4915, -0.2003 
0.4072, -0.0021, -0.4813, -0.1960 
0.4070, -0.0018, -0.4682, -0.1906 
0.4069, -0.0014, -0.4538, -0.1846 
0.4068, -0.0011, -0.4395, -0.1788 
0.4067, -0.0007, -0.4262, -0.1733 
0.4066, -0.0004, -0.4144, -0.1685 
0.4066, 0.0000, -0.4044, -0.1644 
0.4066, 0.0000, -0.3966, -0.1612 
0.4066, 0.0000, -0.3909, -0.1589 
0.4066, 0.0000, -0.3875, -0.1576 
0.4066, 0.0000, -0.3864, -0.1571 
0.4066, 0.0000, -0.3877, -0.1576 
0.4066, 0.0000, -0.3912, -0.1591 
0.4066, 0.0000, -0.3970, -0.1614 
0.4066, 0.0001, -0.4050, -0.1647 
0.4066, 0.0005, -0.4151, -0.1688 
0.4067, 0.0008, -0.4270, -0.1737 
0.4068, 0.0012, -0.4404, -0.1792 
0.4069, 0.0015, -0.4548, -0.1851 
0.4071, 0.0019, -0.4691, -0.1910 
0.4073, 0.0022, -0.4822, -0.1964 
0.4075, 0.0026, -0.4921, -0.2005 
0.4078, 0.0026, -0.4964, -0.2024 
0.4080, 0.0022, -0.4919, -0.2007 
0.4082, 0.0019, -0.4751, -0.1940 
0.4084, 0.0015, -0.4420, -0.1805 
0.4085, 0.0012, -0.3886, -0.1588 
0.4086, 0.0008, -0.3115, -0.1273 
0.4087, 0.0005, -0.2085, -0.0852 
0.4087, 0.0001, -0.0801, -0.0328 
0.4087, -0.0002, -0.0884, -0.0361 
0.4087, -0.0006, -0.2159, -0.0883 
0.4086, -0.0009, -0.3172, -0.1296 
0.4085, -0.0013, -0.3926, -0.1604 
0.4084, -0.0016, -0.4446, -0.1816 
0.4082, -0.0020, -0.4766, -0.1945 
0.4080, -0.0023, -0.4925, -0.2009 
0.4077, -0.0027, -0.4962, -0.2023 
0.4075, -0.0025, -0.4915, -0.2003 
0.4072, -0.0021, -0.4813, -0.1960 
0.4070, -0.0018, -0.4682, -0.1906 
0.4069, -0.0014, -0.4538, -0.1846 
0.4068, -0.0011, -0.4395, -0.1788 
0.4067, -0.0007, -0.4262, -0.1733 
0.4066, -0.0004, -0.4144, -0.1685 
0.4066, 0.0000, -0.4044, -0.1644 
0.4066, 0.0000, -0.3966, -0.1612 
0.4066, 0.0000, -0.3909, -0.1589 
0.4066, 0.0000, -0.3875, -0.1576 
0.4066, 0.0000, -0.3864, -0.1571 
0.4066, 0.0000, -0.3877, -0.1576 
0.4066, 0.0000, -0.3912, -0.1591 
0.4066, 0.0000, -0.3970, -0.1614 
0.4066, 0.0001, -0.4050, -0.1647 
0.4066, 0.0005, -0.4151, -0.1688 
0.4067, 0.0008, -0.4270, -0.1737 
0.4068, 0.0012, -0.4404, -0.1792 
0.4069, 0.0015, -0.4548, -0.1851 
0.4071, 0.0019, -0.4691, -0.1910 
0.4073, 0.0022, -0.4822, -0.1964 
0.4075, 0.0026, -0.4921, -0.2005 
0.4078, 0.0026, -0.4964, -0.2024 
0.4080, 0.0022, -0.4919, -0.2007 
0.4082, 0.0019, -0.4751, -0.1940 
0.4084, 0.0015, -0.4420, -0.1805 
0.4085, 0.0012, -0.3886, -0.1588 
